Date,AC Penrose NO_MCG 24h average [痢/m設,AC Penrose NO2_MCG 24h average [痢/m設,AC Penrose NOX_MCG 24h average [痢/m設,AC Penrose PM10 24h average [痢/m設,AC Penrose PM2.5 24h average [痢/m設,AC Penrose RH 24h average [%],AC Penrose TEMP 24h average [蚓],AC Penrose WSP 24h average [m/s]
6/05/2014,,,,20.964,8.128,85.981,16.44,1.396
7/05/2014,,,,15.731,5.01,86.985,15.77,1.659
8/05/2014,,,,6.448,4.007,88.919,15.27,1.016
9/05/2014,,,,10.788,6.123,84.498,13.62,1.46
10/05/2014,,,,14.329,8.945,79.699,12.99,1.694
11/05/2014,,,,17.686,10.807,80.353,12.55,0.642
12/05/2014,,,,13.471,7.799,80.547,13.73,1.045
13/05/2014,,,,4.989,3.785,76.237,13.97,1.448
14/05/2014,,,,8.306,3.944,84.912,12.58,2.189
15/05/2014,,,,13.379,5.787,71.954,13.35,2.994
16/05/2014,,,,18.395,8.895,76.453,11.3,1.993
17/05/2014,,,,20.267,11.341,83.226,12.22,1.773
18/05/2014,,,,17.477,12.412,,,
19/05/2014,,,,22.96,11.559,,,
20/05/2014,,,,20.025,10.163,83.678,13.74,1.413
21/05/2014,,,,13.297,6.833,82.558,14.71,1.732
22/05/2014,,,,21.423,6.546,64.659,14.09,3.556
23/05/2014,,,,16.724,4.624,73.123,14.77,2.685
24/05/2014,,,,15.527,7.015,80.115,16.65,3.858
25/05/2014,,,,17.476,5.838,82.743,15.17,2.069
26/05/2014,,,,16.065,6.642,70.598,11.93,3.499
27/05/2014,,,,24.015,13.048,61.299,7.51,1.344
28/05/2014,,,,32.842,26.587,62.704,6.91,0.386
29/05/2014,,,,17.428,9.829,83.125,12.03,2.016
30/05/2014,,,,12.544,5.493,85.948,13.64,2.282
31/05/2014,,,,12.241,7.28,76.813,11.06,1.568
1/06/2014,,,,11.739,7.294,78.474,10.08,1.727
2/06/2014,,,,8.225,5.627,80.676,11.32,2.011
3/06/2014,,,,15.139,10.323,81.398,12.65,1.108
4/06/2014,,,,19.36,11.807,80.321,11.78,0.794
5/06/2014,,,,17.315,10.381,84.775,11.29,1.124
6/06/2014,,,,14.84,8.874,87.899,12.44,0.891
7/06/2014,,,,8.772,4.014,82.963,13.34,1.379
8/06/2014,,,,9.423,2.89,86.356,14.41,1.977
9/06/2014,,,,14.229,4.034,87.961,15.45,3.237
10/06/2014,,,,11.674,4.085,91.313,13.19,3.897
11/06/2014,,,,15.448,8.752,85.593,13.55,2.34
12/06/2014,,,,8.053,4.534,84.341,12.77,1.604
13/06/2014,,,,15.766,7.783,69.416,12.29,2.047
14/06/2014,,,,22.712,17.782,77.019,10.38,0.786
15/06/2014,,,,32.738,21.702,88.876,9.79,0.613
